caseid,title,desc,method,host,port,uri,params
TestCase_170,用户评论-评论分页查询,,POST,47.112.120.135,9300,/user/comment/commentsPageList,"{""catalog"": """", ""commentType"": """", ""curPage"": 1, ""examKey"": """", ""experienceIdSet"": """", ""firstCommentId"": ""0"", ""hostCommentLimit"": 3, ""limit"": 10, ""loginAppUserId"": """", ""order"": ""desc"", ""orderFields"": ""id"", ""score"": """", ""sortType"": """", ""subCommentLimit"": 5, ""subjectId"": """", ""topStatus"": """", ""writingIdSet"": """"}"
TestCase_171,用户评论举报-举报评论,,POST,47.112.120.135,9300,/user/commentReport/addCommentReport,"{""commentId"": """", ""commentType"": """", ""reason"": """"}"
TestCase_172,登录接口-APP端修改扫码登陆状态,,POST,47.112.120.135,9300,/apiLogin/updateScanLoginStatus,"{""appVersion"": """", ""channel"": """", ""deviceId"": """", ""deviceName"": """", ""deviceType"": """", ""loginType"": """", ""systemVersion"": """", ""userId"": """", ""uuId"": """"}"
TestCase_173,登录接口-关闭注册期间游客模式登录,,POST,47.112.120.135,9300,/apiLogin/visitorLogin,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_174,登录接口-发送语音验证码,,GET,47.112.120.135,9300,/hcp/apiLogin/sendVoiceCode,mobile=string&zone=string
TestCase_175,登录接口-发送验证码,,GET,47.112.120.135,9300,/hcp/apiLogin/sendMobileCode,mobile=string&zone=string
TestCase_176,登录接口-密码登录,,POST,47.112.120.135,9300,/apiLogin/passwordLogin,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_177,登录接口-小程序登录,,POST,47.112.120.135,9300,/apiLogin/wclApplets,"{""code"": """", ""encryptedData"": """", ""iv"": """", ""loginType"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""weChatPlatform"": """"}"
TestCase_178,"登录接口-微信注册,如果已经注册过了则直接返回用户信息",,POST,47.112.120.135,9300,/apiLogin/weChatRegister,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_179,登录接口-微信登录,,POST,47.112.120.135,9300,/apiLogin/weChatLogin,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_180,登录接口-手机验证码登录,,POST,47.112.120.135,9300,/apiLogin/mobileCodeLogin,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_181,登录接口-扫码登陆,,POST,47.112.120.135,9300,/apiLogin/scanCodeLogin,"{""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""zone"": """"}"
TestCase_182,登录接口-普通游客模式登录,,POST,47.112.120.135,9300,/apiLogin/visitorModeLogin,"{""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""mobile"": """", ""password"": """", ""pushToken"": """", ""systemVersion"": """", ""unionId"": """", ""verifyCode"": """", ""visitorUserId"": """", ""weChatAvatar"": """", ""weChatNickname"": """", ""zone"": """"}"
TestCase_183,登录接口-根据指定日期批量续期用户token,,GET,47.112.120.135,9300,/apiLogin/batchUpdateUserToke,
TestCase_184,登录接口-检查手机验证码,,POST,47.112.120.135,9300,/apiLogin/checkMobileCode,"{""code"": """", ""mobile"": """"}"
TestCase_185,登录接口-获取二维码,,GET,47.112.120.135,9300,/apiLogin/getQrCode/,$type
TestCase_186,登录接口-获取扫码登陆结果,,GET,47.112.120.135,9300,/hcp/apiLogin/getScanLoginResult,uuId=string
TestCase_187,"登录接口-通过app给的code拿到unionId,微信头像地址,微信昵称,sessoinKey",,GET,47.112.120.135,9300,/hcp/apiLogin/getWeChatUserInfo,appType=string&code=string
TestCase_188,登录接口-重新登陆（后面会弃用）,,POST,47.112.120.135,9300,/apiLogin/newLogin,"{""deviceid"": """", ""loginType"": """", ""userId"": """"}"
TestCase_189,销售人员-根据销售员id后去销售员信息,,GET,47.112.120.135,9300,/hcp/user/salesperson,salespersonId=int64
TestCase_190,闪验一键登录-一键登录(只针对三大运营商的号码有效),,POST,47.112.120.135,9300,/user/flashMobile/login,"{""appId"": """", ""appKey"": """", ""appVersion"": """", ""channel"": """", ""deviceName"": """", ""deviceType"": """", ""deviceid"": """", ""loginType"": """", ""pushToken"": """", ""token"": """", ""visitorUserId"": """"}"
TestCase_191,阅读-信息,,GET,47.112.120.135,9300,/user/readLog/,$id
TestCase_192,阅读-修改,,POST,47.112.120.135,9300,/user/readLog/update,"{""catalog"": """", ""createDate"": """", ""device"": """", ""id"": """", ""ip"": """", ""readBeginTime"": """", ""readContentId"": """", ""readEndTime"": """", ""readLogId"": """", ""readModule"": """", ""readTime"": """", ""topName"": """", ""updateDate"": """", ""userId"": """", ""userName"": """"}"
TestCase_193,阅读-分页,,GET,47.112.120.135,9300,/hcp/user/readLog/page,limit=int32&order=string&orderField=string&page=int32
TestCase_194,阅读-分页查询-适用于大分页查询,,POST,47.112.120.135,9300,/user/readLog/pageList,"{""catalog"": """", ""createDate"": """", ""curPage"": 1, ""device"": """", ""id"": """", ""ip"": """", ""limit"": 10, ""order"": ""desc"", ""orderFields"": ""id"", ""readBeginTime"": """", ""readContentId"": """", ""readEndTime"": """", ""readLogId"": """", ""readModule"": """", ""readTime"": """", ""topName"": """", ""updateDate"": """", ""userId"": """", ""userName"": """"}"
TestCase_195,阅读-导出,,POST,47.112.120.135,9300,/user/readLog/expor,
TestCase_196,阅读-用户阅读次数保存,,POST,47.112.120.135,9300,/user/readLog/save,"{""catalog"": """", ""createDate"": """", ""device"": """", ""id"": """", ""ip"": """", ""readBeginTime"": """", ""readContentId"": """", ""readEndTime"": """", ""readLogId"": """", ""readModule"": """", ""readTime"": """", ""topName"": """", ""updateDate"": """", ""userId"": """", ""userName"": """"}"
